hidden_dim,num_layers,dropout,learning_rate,weight_decay,batch_size,max_epochs,patience,best_epoch,train_rmse,train_r2,train_pearson,val_rmse,val_r2,val_pearson,test_rmse,test_r2,test_pearson,trial,elapsed_seconds
128,2,0.2,0.001,1e-05,32,300,50,56,0.45557752720382494,0.7997781038284302,0.9050021191921872,0.6273998677200382,0.504574179649353,0.7478357229792976,0.7437731218350265,0.1269107460975647,0.6283309648683378,107,33.23
64,6,0.15,0.0005,0.0001,32,300,50,64,0.5431883662827782,0.7153652906417847,0.8597797347519371,0.6286428859697436,0.502609133720398,0.7396020293866705,0.7090490222388048,0.20653057098388672,0.6420066257753219,69,108.73
64,4,0.15,0.001,0.0001,32,300,50,46,0.48075180709884074,0.7770390510559082,0.886896161794851,0.6290645044847247,0.5019417405128479,0.7323289346742479,0.650625238116218,0.33190304040908813,0.6686030933399348,45,61.99
64,6,0.05,0.0001,0.0001,32,300,50,93,0.46908214245864893,0.7877318859100342,0.8901572406528998,0.6291526880248242,0.5018020868301392,0.7436159402846171,0.6763982436882016,0.27792447805404663,0.6739625766890334,57,120.1
128,2,0.15,0.001,1e-05,32,300,50,30,0.48669905094554256,0.7714885473251343,0.8794866257688667,0.6298632714840721,0.5006760954856873,0.7402677257917205,0.7098689170505574,0.2046944499015808,0.6386168963100071,98,26.59
64,6,0.2,0.0005,1e-06,32,300,50,71,0.5364136785297845,0.7224209308624268,0.8581674466182185,0.6300363752672151,0.5004016160964966,0.715846354133627,0.6871743514679622,0.2547335624694824,0.6087541403779128,76,118.01
256,4,0.15,0.0005,1e-06,32,300,50,38,0.46624232914829994,0.7902942299842834,0.9014010312514051,0.6301682173096026,0.5001925230026245,0.7430717853071297,0.7282567932304452,0.16295892000198364,0.6575816688603324,202,91.18
256,4,0.15,0.0005,1e-05,32,300,50,47,0.40565788694115645,0.8412525653839111,0.9303413824730484,0.6301713859089147,0.5001875162124634,0.7377696429338012,0.7341890302521819,0.14926666021347046,0.6319924812743203,203,100.46
64,4,0.2,0.0005,1e-05,32,300,50,63,0.5746501677326756,0.6814379692077637,0.8381445722891709,0.6315886354017077,0.49793684482574463,0.7243697922700748,0.6692899387071886,0.29302138090133667,0.6635038368569726,50,73.5
128,4,0.15,0.0005,0.0001,32,300,50,40,0.5080964688294566,0.7509541511535645,0.8712780469214747,0.6316843219426899,0.49778467416763306,0.7205064706898634,0.7055433645742939,0.21435725688934326,0.6055509542168016,123,59.85
128,6,0.05,0.001,0.0001,32,300,50,35,0.4000641398861849,0.8456003665924072,0.9213259163242296,0.6332035504762702,0.49536609649658203,0.7361271733154631,0.7369698477830982,0.1428099274635315,0.6162557244341355,144,75.37
256,2,0.05,0.0005,0.0001,32,300,50,21,0.5116032186066175,0.7475045919418335,0.8697963999401878,0.6333040282931649,0.4952058792114258,0.7235518022155856,0.6788444771884156,0.27269214391708374,0.640484340823593,168,44.59
64,6,0.15,0.0005,1e-06,32,300,50,81,0.4131641539344279,0.8353232741355896,0.9154534576777593,0.633521565795095,0.4948590397834778,0.736275132727338,0.7108392333143244,0.2025187611579895,0.64052139902832,67,124.21
128,2,0.15,0.001,0.0001,32,300,50,60,0.45266045402178456,0.8023339509963989,0.9060074973909977,0.6349594289855028,0.49256348609924316,0.7315630278903182,0.7724828126223693,0.05820727348327637,0.6140314318230253,99,37.16
64,4,0.05,0.001,0.0001,32,300,50,36,0.4282978300707631,0.8230385184288025,0.9191504462590685,0.6350048612048087,0.49249088764190674,0.7319137845284346,0.7039174594473512,0.21797406673431396,0.6472807425043845,36,38.06
256,4,0.2,0.0005,1e-06,32,300,50,68,0.44730818433546565,0.8069807291030884,0.9203419242936907,0.6354777171297429,0.49173474311828613,0.7658096573413453,0.7723513210758249,0.05852788686752319,0.6461923193008894,211,126.66
128,4,0.15,0.0005,1e-06,32,300,50,49,0.4912547552689113,0.7671906352043152,0.8896938925380854,0.6361192794920386,0.4907079339027405,0.7280292876180844,0.7184964437642286,0.18524521589279175,0.6391886090617813,121,65.71
256,2,0.15,0.0005,1e-05,32,300,50,35,0.5218255573539295,0.7373135685920715,0.8627731599375899,0.6363680991490045,0.490309476852417,0.721047863114618,0.6739784625868467,0.283081591129303,0.6478233393276318,176,53.69
256,6,0.05,0.0005,1e-06,32,300,50,32,0.4309896678482695,0.820807158946991,0.9092176513051737,0.6374900919948374,0.4885106086730957,0.7282537890629606,0.7337395780040902,0.15030789375305176,0.616777616208138,220,117.29
256,2,0.05,0.001,1e-05,32,300,50,31,0.4762420202072321,0.781202495098114,0.9116232778801852,0.6380935523702916,0.48754173517227173,0.7246463993353932,0.7267568184841445,0.1664034128189087,0.6163810573428751,170,50.68
64,6,0.15,0.001,1e-05,32,300,50,55,0.5088684254434535,0.7501968145370483,0.8890326846255523,0.639137891318958,0.48586297035217285,0.7071603873392709,0.6685560890069392,0.2945708632469177,0.6372875285725136,71,101.06
256,4,0.15,0.0001,1e-05,32,300,50,69,0.5287438068523198,0.730302095413208,0.8660977448214995,0.6392233797631621,0.48572540283203125,0.7346716996992085,0.694082243293764,0.23967450857162476,0.6664704582870264,200,123.22
256,6,0.2,0.0001,1e-06,32,300,50,45,0.6056422569485373,0.6461499333381653,0.8095894511792822,0.6412564166530635,0.482448935508728,0.7129964351964275,0.6905915368720177,0.24730300903320312,0.6503346699778201,235,115.34
128,6,0.15,0.0005,1e-06,32,300,50,66,0.46645847328505374,0.7900997400283813,0.8936572564661938,0.6420942995330187,0.481095552444458,0.7397451707562727,0.748791475946355,0.11508923768997192,0.638242781839821,148,102.56
128,6,0.05,0.0001,1e-05,32,300,50,47,0.4875213202680595,0.7707157731056213,0.879644267661152,0.6421156497309457,0.48106104135513306,0.7329202783304289,0.6820830737303573,0.2657359838485718,0.6678490190347658,137,85.35
